symbol,industry,year,roic,roe,roa,equity,invested_capital,total_assets,nopat,equity_billion,invested_capital_billion,total_assets_billion,nopat_billion,roic_pct,roe_pct,roa_pct
AAA,Hóa chất,2015,0.0284,0.0495,0.0207,819485268245,1429517828207,1954764678040.0,40548813597.0,819.49,1429.52,1954.76,40.55,2.84,4.95,2.07
AAA,Hóa chất,2016,0.0522,0.1497,0.0464,954752102324,2738126087860,3077615978737.0,142925017617.0,954.75,2738.13,3077.62,142.93,5.22,14.97,4.64
AAA,Hóa chất,2017,0.0658,0.1621,0.0576,1624970288622,4002583259208,4576157128799.0,263364105956.0,1624.97,4002.58,4576.16,263.36,6.58,16.21,5.76
AAA,Hóa chất,2018,0.0311,0.0712,0.0282,2980250148691,6815460731314,7529166722403.0,212148913561.0,2980.25,6815.46,7529.17,212.15,3.11,7.12,2.82
AAA,Hóa chất,2019,0.0699,0.1508,0.0615,3255238193170,7026834892322,7987454158531.0,491028872669.0,3255.24,7026.83,7987.45,491.03,6.99,15.08,6.15
AAA,Hóa chất,2020,0.0374,0.0704,0.0331,4024161975486,7584668092957,8569613917893.0,283372327664.0,4024.16,7584.67,8569.61,283.37,3.74,7.04,3.31
AAA,Hóa chất,2021,0.0366,0.0592,0.0322,5454381737050,8813560681010,10009526635291.0,322664325992.0,5454.38,8813.56,10009.53,322.66,3.66,5.92,3.22
AAA,Hóa chất,2022,0.0126,0.019,0.0109,6171185417465,9301375586455,10795832681712.0,117291267937.0,6171.19,9301.38,10795.83,117.29,1.26,1.9,1.09
AAA,Hóa chất,2023,0.0346,0.0518,0.0267,5963870940230,8948221025691,11583445505916.0,309193823134.0,5963.87,8948.22,11583.45,309.19,3.46,5.18,2.67
AAA,Hóa chất,2024,0.0316,0.0513,0.0232,6236273953200,10130750011053,13768215584455.0,319781840731.0,6236.27,10130.75,13768.22,319.78,3.16,5.13,2.32
AAA,Hóa chất,2025,0.0465,0.0697,0.0329,6079230359763,9110283672751,12891604733753.0,423921411857.0,6079.23,9110.28,12891.6,423.92,4.65,6.97,3.29
AAM,Thực phẩm và đồ uống,2015,0.0086,0.0103,0.008,249653265014,299619460267,321933766257.0,2563684319.0,249.65,299.62,321.93,2.56,0.86,1.03,0.8
AAM,Thực phẩm và đồ uống,2016,0.0064,0.0064,0.0061,244978414828,244978414828,257903768434.0,1569522682.0,244.98,244.98,257.9,1.57,0.64,0.64,0.61
AAM,Thực phẩm và đồ uống,2017,0.0047,0.0047,0.0045,240957002605,240957002605,251560593521.0,1131598086.0,240.96,240.96,251.56,1.13,0.47,0.47,0.45
AAM,Thực phẩm và đồ uống,2018,0.0453,0.0453,0.0417,211679054829,211679054829,229959036787.0,9591230681.0,211.68,211.68,229.96,9.59,4.53,4.53,4.17
AAM,Thực phẩm và đồ uống,2019,0.0393,0.0393,0.0365,211415416669,211415416669,227507959520.0,8308840156.0,211.42,211.42,227.51,8.31,3.93,3.93,3.65
AAM,Thực phẩm và đồ uống,2020,-0.0593,-0.0617,-0.0568,194101766212,201684893414,210819262649.0,-11966559457.0,194.1,201.68,210.82,-11.97,-5.93,-6.17,-5.68
AAM,Thực phẩm và đồ uống,2021,0.0012,0.0012,0.0011,194326489821,194326489821,201087507683.0,225510011.0,194.33,194.33,201.09,0.23,0.12,0.12,0.11
AAM,Thực phẩm và đồ uống,2022,0.0807,0.0807,0.0773,209536270522,209536270522,218579542224.0,16899756334.0,209.54,209.54,218.58,16.9,8.07,8.07,7.73
AAM,Thực phẩm và đồ uống,2023,0.0035,0.0035,0.0033,202635778918,202635778918,212857323705.0,703150885.0,202.64,202.64,212.86,0.7,0.35,0.35,0.33
AAM,Thực phẩm và đồ uống,2024,-0.0321,-0.0321,-0.0311,196340095186,196340095186,202353239327.0,-6295683732.0,196.34,196.34,202.35,-6.3,-3.21,-3.21,-3.11
AAM,Thực phẩm và đồ uống,2025,0.0093,0.0093,0.0092,198096775312,198096775312,201059637425.0,1849136974.0,198.1,198.1,201.06,1.85,0.93,0.93,0.92
AAS,Dịch vụ tài chính,2015,0.0044,0.0044,,14382600740,14382600740,,62744134.0,14.38,14.38,,0.06,0.44,0.44,
AAS,Dịch vụ tài chính,2016,0.0,0.0,,302393092878,302393092878,,10492138.0,302.39,302.39,,0.01,0.0,0.0,
AAS,Dịch vụ tài chính,2017,0.008,0.008,,304843964025,304843964025,,2450871147.0,304.84,304.84,,2.45,0.8,0.8,
AAS,Dịch vụ tài chính,2018,0.0704,0.0704,,324124703607,324124703607,,22819099440.0,324.12,324.12,,22.82,7.04,7.04,
AAS,Dịch vụ tài chính,2019,0.0559,0.0559,,341230900198,341230900198,,19089903614.0,341.23,341.23,,19.09,5.59,5.59,
AAS,Dịch vụ tài chính,2020,0.0093,0.0096,,346537705538,357154372201,,3323098317.0,346.54,357.15,,3.32,0.93,0.96,
AAS,Dịch vụ tài chính,2021,0.3109,0.311,,1214279934174,1214896600833,,377696840459.0,1214.28,1214.9,,377.7,31.09,31.1,
AAS,Dịch vụ tài chính,2022,0.1674,0.208,,1533187629366,1904999216190,,318907695192.0,1533.19,1905.0,,318.91,16.74,20.8,
AAS,Dịch vụ tài chính,2023,0.0259,0.0359,,2420065069587,3361208516191,,86939040221.0,2420.07,3361.21,,86.94,2.59,3.59,
AAS,Dịch vụ tài chính,2024,0.0152,0.0295,,2493342479521,4835136127135,,73661409934.0,2493.34,4835.14,,73.66,1.52,2.95,
AAS,Dịch vụ tài chính,2025,0.0401,0.0621,,2657971431869,4116084606212,,165012952348.0,2657.97,4116.08,,165.01,4.01,6.21,
AAT,Hàng cá nhân & Gia dụng,2015,0.0014,0.0019,0.0012,370009076844,508342252639,609115395915.0,711763447.0,370.01,508.34,609.12,0.71,0.14,0.19,0.12
AAT,Hàng cá nhân & Gia dụng,2016,0.0003,0.0004,0.0002,365941954736,545347133084,615237376870.0,150115366.0,365.94,545.35,615.24,0.15,0.03,0.04,0.02
AAT,Hàng cá nhân & Gia dụng,2017,0.0027,0.0041,0.0025,365758024555,561869200772,610272186883.0,1514265452.0,365.76,561.87,610.27,1.51,0.27,0.41,0.25
AAT,Hàng cá nhân & Gia dụng,2018,0.0438,0.0616,0.0404,389747986631,548192831780,593245038424.0,23989962076.0,389.75,548.19,593.25,23.99,4.38,6.16,4.04
AAT,Hàng cá nhân & Gia dụng,2019,0.0386,0.0512,0.035,413236098328,547820736010,604091935016.0,21147090793.0,413.24,547.82,604.09,21.15,3.86,5.12,3.5
AAT,Hàng cá nhân & Gia dụng,2020,0.0,0.0,0.0,425632334792,538391329486,580490660538.0,0.0,425.63,538.39,580.49,0.0,0.0,0.0,0.0
AAT,Hàng cá nhân & Gia dụng,2021,0.0325,0.0431,0.0295,668736814476,886438267364,976612415331.0,28813656259.0,668.74,886.44,976.61,28.81,3.25,4.31,2.95
AAT,Hàng cá nhân & Gia dụng,2022,0.0924,0.1217,0.0845,731482064342,963669072921,1053445887828.0,89028136264.0,731.48,963.67,1053.45,89.03,9.24,12.17,8.45
AAT,Hàng cá nhân & Gia dụng,2023,-0.0027,-0.0035,-0.0024,707621123065,920855926477,1011341063201.0,-2466576299.0,707.62,920.86,1011.34,-2.47,-0.27,-0.35,-0.24
AAT,Hàng cá nhân & Gia dụng,2024,-0.0076,-0.0115,-0.0062,725391981586,1093203531956,1334267673045.0,-8311081313.0,725.39,1093.2,1334.27,-8.31,-0.76,-1.15,-0.62
AAT,Hàng cá nhân & Gia dụng,2025,0.0189,0.0296,0.0153,764543328061,1200211417648,1476082020585.0,22649099076.0,764.54,1200.21,1476.08,22.65,1.89,2.96,1.53
AAV,Bất động sản,2015,0.0075,0.0613,0.0054,24252648198,199421349920,273676085929.0,1486400926.0,24.25,199.42,273.68,1.49,0.75,6.13,0.54
AAV,Bất động sản,2016,0.0551,0.0976,0.043,157312455001,278472638216,357029033633.0,15352511033.0,157.31,278.47,357.03,15.35,5.51,9.76,4.3
AAV,Bất động sản,2017,0.0786,0.134,0.0602,166112553322,283156158717,369685784116.0,22254098321.0,166.11,283.16,369.69,22.25,7.86,13.4,6.02
AAV,Bất động sản,2018,0.1208,0.185,0.0942,198710766800,304292960983,390152649178.0,36765880123.0,198.71,304.29,390.15,36.77,12.08,18.5,9.42
AAV,Bất động sản,2019,0.0615,0.0826,0.0523,373094271992,500845796653,588735324161.0,30804265918.0,373.09,500.85,588.74,30.8,6.15,8.26,5.23
AAV,Bất động sản,2020,0.0273,0.0371,0.0239,387476564002,526793191557,600719705476.0,14382292012.0,387.48,526.79,600.72,14.38,2.73,3.71,2.39
AAV,Bất động sản,2021,0.0325,0.0374,0.0304,806780814611,929369630577,991979409314.0,30173648207.0,806.78,929.37,991.98,30.17,3.25,3.74,3.04
AAV,Bất động sản,2022,0.0035,0.0043,0.0033,809076035879,1003118276433,1079605282967.0,3516456338.0,809.08,1003.12,1079.61,3.52,0.35,0.43,0.33
AAV,Bất động sản,2023,-0.0202,-0.0222,-0.0189,779898572112,855951824532,918101485490.0,-17328079341.0,779.9,855.95,918.1,-17.33,-2.02,-2.22,-1.89
AAV,Bất động sản,2024,-0.0182,-0.0206,-0.0169,766217641706,866652441126,933947489471.0,-15755563834.0,766.22,866.65,933.95,-15.76,-1.82,-2.06,-1.69
AAV,Bất động sản,2025,-0.02,-0.0303,-0.0157,743620852607,1125088835027,1433204645250.0,-22496762297.0,743.62,1125.09,1433.2,-22.5,-2.0,-3.03,-1.57
ABB,Ngân hàng,2015,0.0064,0.0174,0.0014,5248159000000,14344335000000,64374686000000.0,91279000000.0,5248.16,14344.34,64374.69,91.28,0.64,1.74,0.14
ABB,Ngân hàng,2016,0.0132,0.0458,0.0033,5320490000000,18425754000000,74171503000000.0,243914000000.0,5320.49,18425.75,74171.5,243.91,1.32,4.58,0.33
ABB,Ngân hàng,2017,0.0221,0.0919,0.0058,5320490000000,22150728000000,84503069000000.0,488836000000.0,5320.49,22150.73,84503.07,488.84,2.21,9.19,0.58
ABB,Ngân hàng,2018,0.0488,0.1344,0.0079,5320490000000,14664467000000,89997891000000.0,714907000000.0,5320.49,14664.47,89997.89,714.91,4.88,13.44,0.79
ABB,Ngân hàng,2019,0.0446,0.1751,0.0098,5714107186363,22449054990299,102620423020242.0,1000675000000.0,5714.11,22449.05,102620.42,1000.68,4.46,17.51,0.98
ABB,Ngân hàng,2020,0.0347,0.1958,0.0096,5714108000000,32216809000000,116598358000000.0,1118576000000.0,5714.11,32216.81,116598.36,1118.58,3.47,19.58,0.96
ABB,Ngân hàng,2021,0.0453,0.2227,0.0129,7005272000000,34420317000000,120936804000000.0,1559978000000.0,7005.27,34420.32,120936.8,1559.98,4.53,22.27,1.29
ABB,Ngân hàng,2022,0.0429,0.1436,0.0104,9444744000000,31626026000000,130146645000000.0,1356730000000.0,9444.74,31626.03,130146.64,1356.73,4.29,14.36,1.04
ABB,Ngân hàng,2023,0.0115,0.0437,0.0028,10385641000000,39427128000000,162099173000000.0,453502000000.0,10385.64,39427.13,162099.17,453.5,1.15,4.37,0.28
ABB,Ngân hàng,2024,0.0104,0.0564,0.0033,10385641000000,56316480000000,176713113000000.0,585556000000.0,10385.64,56316.48,176713.11,585.56,1.04,5.64,0.33
ABB,Ngân hàng,2025,0.0681,0.2722,0.0128,10385641000000,41503749000000,220462815000000.0,2827245000000.0,10385.64,41503.75,220462.82,2827.24,6.81,27.22,1.28
ABI,Bảo hiểm,2015,0.1469,0.1469,,557040139288,557040139288,,81827543613.0,557.04,557.04,,81.83,14.69,14.69,
ABI,Bảo hiểm,2016,0.1847,0.1847,,601751102117,601751102117,,111148526045.0,601.75,601.75,,111.15,18.47,18.47,
ABI,Bảo hiểm,2017,0.1951,0.1951,,657771750203,657771750203,,128358178126.0,657.77,657.77,,128.36,19.51,19.51,
ABI,Bảo hiểm,2018,0.2295,0.2295,,748679730740,748679730740,,171798349932.0,748.68,748.68,,171.8,22.95,22.95,
ABI,Bảo hiểm,2019,0.2721,0.2721,,891176049939,891176049939,,242495520043.0,891.18,891.18,,242.5,27.21,27.21,
ABI,Bảo hiểm,2020,0.2804,0.2804,,1044879865616,1044879865616,,293019824842.0,1044.88,1044.88,,293.02,28.04,28.04,
ABI,Bảo hiểm,2021,0.2207,0.2207,,1234877919521,1234877919521,,272522170993.0,1234.88,1234.88,,272.52,22.07,22.07,
ABI,Bảo hiểm,2022,0.1593,0.1593,,1392611106446,1392611106446,,221798438057.0,1392.61,1392.61,,221.8,15.93,15.93,
ABI,Bảo hiểm,2023,0.1608,0.1608,,1532182536944,1532182536944,,246312160876.0,1532.18,1532.18,,246.31,16.08,16.08,
ABI,Bảo hiểm,2024,0.1329,0.1329,,1540816939283,1540816939283,,204717146978.0,1540.82,1540.82,,204.72,13.29,13.29,
ABI,Bảo hiểm,2025,0.1456,0.1456,,1757172117785,1757172117785,,255834995502.0,1757.17,1757.17,,255.83,14.56,14.56,
ABR,Hàng & Dịch vụ Công nghiệp,2015,0.0361,0.0364,0.0285,31136382708,31448042708,39856379433.0,1134086698.0,31.14,31.45,39.86,1.13,3.61,3.64,2.85
ABR,Hàng & Dịch vụ Công nghiệp,2016,0.0135,0.0135,0.0133,31562048628,31562048628,32074737822.0,425665920.0,31.56,31.56,32.07,0.43,1.35,1.35,1.33
ABR,Hàng & Dịch vụ Công nghiệp,2017,0.0217,0.0227,0.0199,33898038958,35500038958,38629869905.0,769413740.0,33.9,35.5,38.63,0.77,2.17,2.27,1.99
ABR,Hàng & Dịch vụ Công nghiệp,2018,0.0489,0.0518,0.048,33313379689,35293379689,35989674403.0,1726638600.0,33.31,35.29,35.99,1.73,4.89,5.18,4.8
ABR,Hàng & Dịch vụ Công nghiệp,2019,0.0397,0.0397,0.0325,211711785628,211711785628,258433508498.0,8398405939.0,211.71,211.71,258.43,8.4,3.97,3.97,3.25
